Facility Name,Facility,NumberOfUnits,Latitude,Longitude,WindTurbineManufacturer
Capricorn Ridge Expansion (1Q08) Wind Farm,Capricorn Ridge Expansion (1Q08),95,31.838061,-100.923965,GE Energy
Capricorn Ridge Expansion (2Q08) Wind Farm,Capricorn Ridge Expansion (2Q08),104,31.838061,-100.923965,GE Energy
Caprock Wind Ranch,Caprock Wind Ranch,60,35.043532,-103.583422,Mitsubishi
"Caprock Wind Ranch, phase II","Caprock Wind Ranch, phase II",20,35.043532,-103.583422,Mitsubishi
Carleton College Wind Farm,Carleton College,1,44.4473,-93.1592,NEG Micon
Carroll Wind Farm,Carroll,100,42.112208,-94.910631,GE Energy
Casper Wind Farm,Casper Wind Farm,11,43.01578,-105.993723,GE Energy
Casselman Wind Project,Casselman Wind Project,23,39.793409,-79.001684,GE Energy
Cassia Wind Farm,Cassia Wind Farm,14,42.814261,-114.996665,Suzlon Energy Company
Cedar Creek Wind Farm I (GE),Cedar Creek,53,40.873578,-104.07825,GE Energy
Cedar Creek Wind Farm I (Mitsubishi),Cedar Creek,221,40.873578,-104.07825,Mitsubishi
Cedar Creek Wind Farm II (GE),Cedar Creek II (GE),63,40.868652,-104.092398,GE Energy
Cedar Creek Wind Farm II (Nordex),Cedar Creek II (Nordex),60,40.874623,-104.092569,Nordex
Cedar Hills Wind Facility I,Cedar Hills Wind Facility,13,46.201378,-103.834198,GE Energy
Cedar Hills Wind Facility II,Cedar Hills Wind Facility,13,46.249235,-103.756285,GE Energy
Cedar Point Wind Farm,Cedar Point Wind Farm,139,39.219417,-104.537167,Vestas
Cedar Ridge Wind Farm,Cedar Ridge Wind Farm,41,43.647092,-88.459146,Vestas
Cedro Hill,Cedro Hill,100,27.56341162,-98.91720772,GE Energy
Centennial Wind Energy Project (2006),Centennial Wind Energy Project (2006),40,36.7,-99.85,GE Energy
Centennial Wind Energy Project (2007),Centennial Wind Energy Project (2007),40,36.71,-99.86,GE Energy
Central Plains Wind Farm,Central Plains,33,38.49695,-101.128392,Vestas
Century Expansion (08) Wind Farm,Century Expansion (08),7,42.504142,-93.656316,GE Energy
Century Expansion (4Q07) Wind Farm,Century Expansion (4Q07),2,42.495789,-93.652368,GE Energy
Century Wind Project,Century Wind Project,100,42.504259,-93.646524,GE Energy
Century Wind Project Expansion,Century Wind Project Expansion,35,42.509141,-93.682151,Mitsubishi
Cerro Gordo Wind Farm,Cerro Gordo,55,43.071437,-93.431647,NEG Micon
Chamberlain Wind Project,Chamberlain Wind Project,2,43.8096,-99.3272,Nordex
"Champepaden, Chandler Hills Phase II Wind Farm","Champepaden, Chandler Hills Phase II",3,43.9189,-95.9557,Vestas
Champion (Roscoe II) Wind Farm,Champion (Roscoe II),55,32.457897,-100.581644,Siemens
Chanarambie Wind Farm,Chanarambie,57,43.978567,-96.011081,GE Wind
Chandler Hills Wind Farm,Chandler Hills Wind Farm,3,43.9189,-95.9557,Vestas
Charles City (1Q08) Wind Farm,Charles City (1Q08),38,43.049152,-92.734151,GE Energy
Charles City (2Q08) Wind Farm,Charles City (2Q08),12,43.004101,-92.722392,GE Energy
Chesapeake Bay Test Site,Chesapeake Bay Test Site,1,37.243,-76.062,Gamesa
Chestnut Flats Wind Farm,Chestnut Flats Wind Farm,19,40.357314,-78.594482,Gamesa
Chevak,Chevak,4,61.516803,-165.600108,Northern Power Systems
Cisco Wind Energy Wind Farm,Cisco Wind Energy,4,43.696164,-95.467078,Suzlon Energy Company
City of Geneseo,City of Geneseo,2,41.42597968,-90.154752731323,Vensys
City of Medford Wind Turbine,City of Medford Wind Turbine,1,42.415768,-71.107337,Northern Power Systems
Clarion-Goldfield School Wind Farm,Clarion-Goldfield School,1,42.737179,-93.718132,AOC
Clay Central Everly School Dist Wind Farm,Clay Central/Everly School Dist,1,43.1392,-95.2644,
Cleveland Bay Wind Farm,Cleveland Bay Wind Farm,5,41.608,-81.809,GE Energy
Cleveland Project Phase 2,Cleveland Project Phase 2,,41.725,-81.802,
Clovis Wind Power Project,Clovis Wind Power Project,1,34.412022,-103.196522,Vestas
Coastal Energy (CCAP),Coastal Energy (CCAP),6,46.793272,-124.065341,GE Energy
Colorado Green Wind Power Project,Colorado Green,108,37.725264,-102.592406,GE Energy
Combine Hills II,Combine Hills II,63,45.946742,-118.56828,Mitsubishi
Combine Hills Wind Farm,Combine Hills,41,45.94152,-118.589137,Mitsubishi
Community-Owned Projects,Community-Owned Projects,7,44.0039,-96.0526,Suzlon Energy Company
Conception Wind Project,Conception Wind Project,24,40.246984,-94.675376,Suzlon Energy Company
Condon Wind Project,Condon Wind Project,41,45.282928,-120.272233,Mitsubishi
"Condon Wind Project, phase II","Condon Wind Project, phase II",42,45.306062,-120.255847,Mitsubishi
Conneaut Middle School Wind Turbine,Conneaut Middle School Wind Turbine,1,41.92601,-80.557126,Elecon
Conneaut Wastewater Facility Wind Turbine,Conneaut Wastewater Facility Wind Turbine,1,41.968223,-80.552268,
Consumers 2 Wind Farm,Consumers 2,1,42.0518,-92.9079,Nordtank 65
Coram Energy (Aeroman Repower) Wind Farm I,Coram Energy (Aeroman repower),7,35.072998,-118.264046,GE Energy
Coram Energy (Aeroman Repower) Wind Farm II,Coram Energy (Aeroman repower),3,35.072998,-118.264046,GE Energy
Corn Plus Wind Farm,Corn Plus,2,43.760635,-94.149617,Suzlon Energy Company
Cottonwood Wind Farm,Cottonwood,12,44.4068,-95.6727,Suzlon Energy Company
Cow Branch Wind Energy Center Wind Farm,Cow Branch Wind Energy Center,24,40.423897,-95.477781,Suzlon Energy Company
Crane Creek Wind Farm,Crane Creek,66,43.410108,-92.51652,GE Energy
Crescent Ridge Wind Farm,Crescent Ridge,33,41.252365,-89.579523,Vestas
Criterion Wind Park,Criterion Wind Park,28,39.317075,-79.377451,Clipper
Crofton Hills Wind Farm,Crofton Hills,14,42.700138,-97.505236,Vestas
Crookston Wind Farm,Crookston,1,47.7716,-96.6059,NA
Crossroads (2.3 MW),Crossroads (2.3 MW),95,36.09363399,-98.76717026,Siemens
Crossroads (3 MW),Crossroads (3 MW),3,36.019889,-98.669894,Siemens
Crosswinds (2.3 MW),Crosswinds (2.3 MW),95,36.019889,-98.669894,Siemens
Crosswinds (3 MW),Crosswinds (3 MW),3,36.019889,-98.669894,Siemens
Crosswinds Wind Farm,Cross Winds,10,43.075449,-94.895575,Suzlon Energy Company
Crow Lake Wind,Crow Lake Wind,108,43.920959,-98.7282157,GE Energy
Crystal Lake - Clipper (08) Wind Farm,Crystal Lake - Clipper (08),76,43.221728,-93.833227,Clipper
Crystal Lake - Clipper (09) Wind Farm,Crystal Lake - Clipper (09),4,41.8780025,-93.097702,Clipper
Crystal Lake - GE Energy Wind Farm,Crystal Lake - GE Energy,100,43.194201,-93.860521,GE Energy
Crystal Lake II,Crystal Lake II,80,43.16151,-93.855786,Clipper
Crystal Lake III,Crystal Lake III,44,43.304401,-93.824029,GE Energy
Danielson Wind,Danielson Wind,12,45.066913,-94.738026,Alstom
Day County Wind Project,Day County Wind Project,66,45.457157,-97.754831,GE Energy
Deepwater Wind Farm,Deepwater Wind Farm,96,39.091,-74.306,
Delaware Mountain Wind Farm,Delaware Mountain,38,31.670717,-104.739534,Zond
Delta Junction Wind Farm,Delta Junction,1,64.069461,-145.717661,DES
Dempsey Ridge Wind Farm,Dempsey Ridge Wind Farm,66,35.508363,-99.739494,Acciona
Desert Sky Wind Farm,Desert Sky Wind Farm,107,30.926626,-102.100067,GE Energy
Desert Wind Power,Desert Wind Power,150,36.435688,-76.232786,
Diablo Winds Wind Farm,Diablo Winds Wind Farm,31,37.7347,-121.652,Vestas
Diamond Willow Extension,Diamond Willow Extension,7,46.281621,-104.271355,GE Energy
Diamond Willow Wind (07) Wind Farm,Diamond Willow Wind (07),1,46.274903,-104.183013,GE Energy
Diamond Willow Wind (08) Wind Farm,Diamond Willow Wind (08),12,46.268046,-104.201742,GE Energy
Difwind I Wind Farm,Difwind I,115,33.9095,-116.734,Micon
Difwind II Wind Farm,Difwind II,39,33.9095,-116.734,Micon
Difwind V Wind Farm,Difwind V,73,33.9095,-116.734,Micon
Dillon Wind Farm,Dillon,45,33.939323,-116.589503,Mitsubishi
Dispersed Project Wind Farm,Dispersed Project,9,44.4039,-96.2646,Vestas
Don Sneve Wind Project,Don Sneve Wind Project,1,44.412,-96.2481,NEG Micon
Dry Lake II Wind Farm,Dry Lake II,31,34.635651,-110.357351,Suzlon Energy Company
Dry Lake Wind Farm,Dry Lake,30,34.635651,-110.357351,Suzlon Energy Company
Dunlap Wind Energy Project,Dunlap Wind Energy Project,74,42.013591,-106.21419,GE Energy
Dutch Hill/Cohocton Wind Farm,Dutch Hill/Cohocton Wind Farm,50,42.52342,-77.500303,Clipper
Dutch Pacific Wind Farm,Dutch Pacific,20,33.9095,-116.734,NedWind
East Ridge Wind Farm,East Ridge Wind Farm,8,44.4039,-96.2646,Suzlon Energy Company
East Winds (formerly Altech III) Wind Farm,East Winds (formerly Altech III),7,33.9095,-116.734,NEG Micon
Echo 1-7 Wind Farm,Echo 1-7,27,45.521953,-119.248549,Vestas
Echo 8-9 Wind Farm,Echo 8-9,10,45.521953,-119.248549,REpower
EcoGrove Wind Farm,EcoGrove,67,42.452903,-89.840816,Acciona
Edom Hills (repower) Wind Farm,Edom Hills (repower),8,33.9095,-116.734,Clipper
Elbow Creek Wind Farm,Elbow Creek Wind Farm,53,32.133515,-101.415676,Siemens
Eldora-New Providence Schools Wind Farm,Eldora-New Providence Schools,1,42.3794,-93.2497,NEG Micon
Elk City II,Elk City II,66,35.569747,-99.448256,GE Energy
Elk City Wind Energy Center,Elk City Wind Energy Center,43,35.472664,-99.442602,Siemens
Elk River Wind Farm,Elk River Wind Farm,100,37.586575,-96.547093,GE Energy
Elkhorn Ridge Wind Farm,Elkhorn Ridge,27,42.654519,-97.660224,Vestas
Elkhorn Valley (07) Wind Farm,Elkhorn Valley (07),59,45.05034,-117.780011,Vestas
Elkhorn Valley (08) Wind Farm,Elkhorn Valley (08),2,45.05034,-117.780011,Vestas
Elm Creek II,Elm Creek II,62,43.756372,-94.956014,Mitsubishi
Elm Creek Wind Farm,Elm Creek,66,43.780285,-94.845586,GE Energy
Endeavor (2Q08) Wind Farm,Endeavor (2Q08),25,43.427012,-95.414987,Clipper
Endeavor (3Q07) Wind Farm,Endeavor (3Q07),10,43.416841,-95.423477,Clipper Windpower
Endeavor (3Q08) Wind Farm,Endeavor (3Q08),5,43.432497,-95.452752,Clipper
Endeavor II Wind Farm,Endeavor II,20,43.427012,-95.414987,Clipper
Energy Unlimited Wind Farm I,Energy Unlimited,148,33.9095,-116.734,Bonus; Delta; Micon
Energy Unlimited Wind Farm II,Energy Unlimited,10,33.9095,-116.734,Nordex
Eva Creek Wind Project,Eva Creek Wind Project,12,64.0602,-148.9054,REpower
Ewington Wind Farm,Ewington Wind Farm,10,43.621733,-95.678694,Suzlon Energy Company
F.E. Warren Air Force Base Wind Farm,F.E. Warren Air Force Base,2,41.175569,-104.880778,Vestas
FERN Blue Ribbon Wind Farm I,FERN Blue Ribbon Wind Farm I,6,39.311,-74.41,XEMC-Darwind
FERN Blue Ribbon Wind Farm II*,FERN Blue Ribbon Wind Farm II*,66,39.183,-74.428,Undetermined
Falmouth Wastewater,Falmouth Wastewater,1,41.566789,-70.608791,Vestas
Farmer's Cooperatives Wind Farm,Farmer's Cooperatives,6,43.612366,-95.142403,Vestas
Farmers City Wind Farm,Farmers City,73,40.438596,-95.469482,Gamesa
Federated Wind Farm,Federated,1,46.729553,-94.6858998,Suzlon Energy Company
Fenner Wind Power Project,Fenner Wind Power Project,20,43.000482,-75.762498,GE Energy
